377;2012-02-04 19:30:00;18;25;29
378;2012-02-04 20:00:00;26;33;31
379;2012-02-05 18:30:00;29;36;38
380;2012-02-11 17:45:00;22;29;33
381;2012-02-11 18:00:00;24;31;37
382;2012-02-12 12:15:00;19;26;36
383;2012-02-11 19:00:00;21;28;39
384;2012-02-11 19:15:00;27;34;30
385;2012-02-12 18:00:00;20;27;24
386;2012-02-12 19:00:00;31;38;32
387;2012-02-12 18:45:00;28;35;25
388;2012-02-18 18:00:00;30;37;29
389;2012-02-18 18:00:00;17;24;38
390;2012-02-18 18:30:00;32;39;31
391;2012-02-18 19:00:00;25;32;26
392;2012-02-18 19:00:00;23;30;28
393;2012-02-18 19:30:00;18;25;27
394;2012-02-18 20:00:00;26;33;35
395;2012-02-19 18:30:00;29;36;34
396;2012-02-25 17:45:00;22;29;31
397;2012-02-26 12:15:00;19;26;24
398;2012-02-25 19:00:00;21;28;36
399;2012-02-25 19:00:00;23;30;39
400;2012-02-25 19:15:00;27;34;32
401;2012-02-26 18:00:00;20;27;33
402;2012-02-26 19:00:00;31;38;25
403;2012-02-26 18:45:00;28;35;37
404;2012-03-03 18:00:00;24;31;35
405;2012-03-03 18:00:00;30;37;27
406;2012-03-03 18:00:00;17;24;34
407;2012-03-03 18:30:00;32;39;29
408;2012-03-03 19:00:00;25;32;28
409;2012-03-03 19:30:00;18;25;26
410;2012-03-03 20:00:00;26;33;38
411;2012-03-04 18:30:00;29;36;30
412;2012-03-11 12:15:00;19;26;33
413;2012-03-10 19:00:00;23;30;32
414;2012-03-10 19:00:00;21;28;24
415;2012-03-10 19:15:00;27;34;25
416;2012-03-11 18:00:00;20;27;31
417;2012-03-11 18:30:00;29;36;39
418;2012-03-11 19:00:00;31;38;37
419;2012-03-11 18:45:00;28;35;29
420;2012-03-17 17:45:00;22;29;27
421;2012-03-17 18:00:00;24;31;38
422;2012-03-17 18:00:00;30;37;26
423;2012-03-17 18:00:00;17;24;30
424;2012-03-17 18:30:00;32;39;35
425;2012-03-17 19:00:00;25;32;36
426;2012-03-17 19:30:00;18;25;28
427;2012-03-17 20:00:00;26;33;34
428;2012-03-25 12:15:00;19;26;31
429;2012-03-24 19:00:00;21;28;33
430;2012-03-24 19:00:00;23;30;25
431;2012-03-24 19:00:00;25;32;39
432;2012-03-24 19:15:00;27;34;37
433;2012-03-25 18:00:00;20;27;35
434;2012-03-25 18:30:00;29;36;24
435;2012-03-25 19:00:00;31;38;29
436;2012-03-31 17:45:00;22;29;26
437;2012-03-31 18:00:00;24;31;34
438;2012-03-31 18:00:00;30;37;28
439;2012-03-31 18:00:00;17;24;32
440;2012-03-31 18:30:00;32;39;27
441;2012-03-31 19:30:00;18;25;36
442;2012-03-31 20:00:00;26;33;30
443;2012-04-01 18:45:00;28;35;38
