33;PARC ESPORTIU MUNICIPAL GUIERA;AVDA.GUIERA, 6-8;CERDANYOLA VALLES;Barcelona;8290;;;Spain;Baloncesto
34;INST.MUNICIPALS ILLA DIAGONAL;NUMANCIA, 142;BARCELONA;Barcelona;8029;;;Spain;Baloncesto
35;PAVELLO POLIESPORTIU MUNICIPAL;RICART, S/N;SANT ADRIA DEL BESOS;Barcelona;8930;;;Spain;Baloncesto
36;U.E. HORTA;FELIU I CODINA 27;BARCELONA;Barcelona;8031;;;Spain;Baloncesto
37;PAV. MPAL. CORNELLA CENTRO;MARQUES DE CORNELLA, S/N;CORNELLA LLOBREGAT;Barcelona;8940;;;Spain;Baloncesto
38;PAVELLO MUNICIPAL DE FONTAJAU;AV. JOSEP TARRADELLAS, 22,24;GIRONA;Girona;17007;;;Spain;Baloncesto
39;POLIESPORTIU LES COMES;CARLES RIBA S/N;IGUALADA;Barcelona;8700;;;Spain;Baloncesto
40;PAVELLO C.B. OLESA;PRIORAT, S/N;OLESA DE MONTSERRAT;Barcelona;8640;;;Spain;Baloncesto
41;POLIESPORTIU CAN JOFRESA;BADALONA, 4;TERRASSA;Barcelona;8220;;;Spain;Baloncesto
