484;2012-02-21 20:45:00;35;42;41;;;;2011-2012
485;2012-02-26 16:30:00;8;44;45;;;;2011-2012
486;2012-02-26 17:45:00;41;49;40;;;;2011-2012
487;2012-02-26 19:00:00;39;47;48;;;;2011-2012
488;2012-02-26 19:30:00;38;46;43;;;;2011-2012
489;2012-03-03 16:00:00;35;42;46;;;;2011-2012
490;2012-03-03 19:00:00;36;43;49;;;;2011-2012
491;2012-03-03 19:15:00;37;45;47;;;;2011-2012
492;2012-03-03 19:30:00;33;40;44;;;;2011-2012
493;2012-03-03 19:45:00;40;48;41;;;;2011-2012
494;2012-03-11 16:30:00;8;44;43;;;;2011-2012
495;2012-03-11 17:45:00;41;49;42;;;;2011-2012
496;2012-03-11 19:00:00;39;47;40;;;;2011-2012
497;2012-03-11 19:30:00;34;41;45;;;;2011-2012
498;2012-04-22 18:00:00;38;46;48;;;;2011-2012
499;2012-03-18 16:30:00;8;44;42;;;;2011-2012
500;2012-03-18 17:45:00;41;49;48;;;;2011-2012
501;2012-03-18 19:00:00;39;47;43;;;;2011-2012
502;2012-03-17 16:30:00;38;46;45;;;;2011-2012
503;2012-03-18 19:30:00;34;41;40;;;;2011-2012
504;2012-03-23 19:45:00;35;42;47;;;;2011-2012
505;2012-03-25 12:00:00;36;43;41;;;;2011-2012
506;2012-03-24 19:15:00;37;45;49;;;;2011-2012
507;2012-03-24 20:45:00;33;40;46;;;;2011-2012
508;2012-03-24 19:45:00;40;48;44;;;;2011-2012
509;2012-03-31 19:00:00;36;43;46;;;;2011-2012
510;2012-03-31 19:15:00;37;45;44;;;;2011-2012
511;2012-03-31 19:30:00;33;40;49;;;;2011-2012
512;2012-03-31 19:45:00;40;48;47;;;;2011-2012
513;2012-04-01 17:45:00;34;41;42;;;;2011-2012
514;2012-04-15 16:30:00;8;44;40;;;;2011-2012
515;2012-04-15 17:45:00;41;49;43;;;;2011-2012
516;2012-04-15 19:00:00;39;47;45;;;;2011-2012
517;2012-04-14 18:00:00;38;46;42;;;;2011-2012
518;2012-04-15 19:30:00;34;41;48;;;;2011-2012
519;2012-04-21 16:00:00;35;42;49;;;;2011-2012
520;2012-04-21 19:00:00;36;43;44;;;;2011-2012
521;2012-04-21 16:00:00;37;45;41;;;;2011-2012
522;2012-04-21 19:30:00;33;40;47;;;;2011-2012
523;2012-04-20 20:45:00;40;48;46;;;;2011-2012
524;2012-04-19 21:15:00;35;42;44;;;;2011-2012
525;2012-04-28 19:00:00;36;43;47;;;;2011-2012
526;2012-04-28 19:15:00;37;45;46;;;;2011-2012
527;2012-04-28 20:45:00;33;40;41;;;;2011-2012
528;2012-04-28 19:45:00;40;48;49;;;;2011-2012
529;2012-05-06 16:30:00;8;44;48;;;;2011-2012
530;2012-05-06 17:45:00;41;49;45;;;;2011-2012
531;2012-05-06 19:00:00;39;47;42;;;;2011-2012
532;2012-05-06 19:30:00;38;46;40;;;;2011-2012
533;2012-05-06 19:30:00;34;41;43;;;;2011-2012
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
